CONSUMPTION_SEGMENT_CODE,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
510250,,-8,2,2,0,-1,-4,4,18,5,3,-5,-9,-4,-5,-2,3,-0,-2,0,16,4,-5,-1,-8,-6,-2,6,5,1,-3,0,8,5,1,3,-11,-4,-0,2,2,-1,-2,2,4,4,-3,-2,-5,2,-0
510257,,5,1,2,-1,-3,-7,6,6,-1,3,-3,-9,6,-4,-1,-12,10,-1,4,3,-1,-4,7,-11,-3,4,4,5,1,-4,1,10,-1,6,-1,-4,1,5,4,1,-5,-4,2,2,-0,5,-3,-12,9,-0
510258,,1,-0,1,2,-3,-0,-2,4,-0,1,-3,1,1,3,1,-2,-0,-2,-1,2,4,-4,1,4,-1,2,1,-1,0,-2,-1,-1,1,0,-1,0,3,-2,2,3,-1,1,2,2,2,1,0,-2,5,-0
510259,,1,2,6,-1,-6,-2,6,4,-2,6,-2,-14,7,9,-3,4,-5,-8,-5,3,8,-6,-6,-8,-3,5,10,-3,6,0,-1,-5,1,9,-5,-12,5,11,4,1,-1,-3,-0,5,-2,5,-3,-13,4,-0
510405,,7,-3,3,-2,-1,-10,1,5,2,3,-1,-2,-1,-1,2,-2,-2,6,-3,2,2,-2,-2,-2,0,7,-2,0,-1,-3,0,3,5,2,-2,-4,4,-1,5,-2,-2,-3,0,7,1,2,-2,-6,7,0
510406,,0,-1,1,1,0,-2,0,3,-1,2,1,-2,1,-0,0,1,-1,2,0,-0,0,2,-1,2,-0,-1,-0,1,0,-2,0,0,2,0,-0,2,0,1,-1,0,0,-0,0,2,0,1,1,-1,3,0
510407,,1,-1,0,1,-0,-3,1,2,-1,2,-1,-0,-0,-1,4,-5,8,0,-1,1,-0,-2,0,-1,0,-1,2,-2,3,-1,-2,1,2,2,-2,2,0,-1,1,-1,0,-1,-1,3,2,-1,-0,0,4,-0
510506,,4,3,2,-1,-2,-7,-5,2,2,5,-1,-6,5,1,-5,-1,-2,-1,-2,-1,4,3,-0,-9,0,5,3,1,-2,-4,-4,-2,9,-1,0,0,4,4,1,1,-2,-3,-5,6,-1,4,-2,-5,2,-0
510529,,-5,-3,1,-4,-2,-1,11,4,5,-2,-1,-11,-4,2,1,5,-3,2,1,5,3,-5,0,-14,-6,-0,3,-2,2,-3,5,4,0,2,1,-3,-10,-0,2,4,2,2,4,3,2,-2,-3,-2,-2,0
510530,,1,2,0,1,-3,0,2,1,-0,1,-1,-2,2,0,-3,1,-2,3,1,2,-1,-1,-1,-6,-1,6,2,4,0,-3,-1,2,0,0,-1,-3,2,1,1,1,-3,-2,1,4,0,1,-3,-0,2,-0
310102,,0,0,1,0,-0,0,0,0,0,0,0,-0,0,0,-0,0,0,3,-2,0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,2,-1,-0,-0,0,2,1,0,-0,1,0,-1,1,2,0,-2,4,
310109,,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,2,-0,0,0,-0,1,-0,0,0,0,1,0,-0,0,0,1,1,0,0,0,1,1,0,0,-0,0,0,0,1,1,-1,3,
310110,,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,-0,0,0,1,-0,0,-0,-0,-1,-0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,1,0,2,
310111,,0,1,0,-0,0,0,-0,0,0,0,0,0,-0,1,-0,0,0,1,1,0,-0,-0,1,-0,0,0,0,2,-0,-0,0,0,1,-1,1,-0,0,2,2,0,0,-0,1,0,0,1,1,-0,2,
310114,,0,1,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,2,0,-0,0,-0,-0,-0,0,0,0,1,-1,-0,0,-0,2,0,0,-1,0,1,2,-0,0,0,0,0,0,1,1,-2,4,
310301,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,2,-0,-2,-0,-0,-0,-0,0,0,0,-1,1,3,1,0,1,-16,-0,-1,1,9,2,0,1,0,0,-5,0,8,1,-7,8,
310302,,0,0,1,0,0,0,0,0,1,0,-0,0,0,0,-0,0,0,2,-0,-3,-0,-0,-2,-0,0,0,0,1,0,3,1,1,1,1,1,1,0,1,2,0,0,0,1,0,1,1,1,-0,2,
310306,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,2,-13,14,1,-0,0,-0,0,0,0,1,1,0,-0,0,-2,0,1,0,0,0,1,0,0,-0,0,0,0,0,0,0,2,
310307,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,2,-0,-4,-1,-0,-4,-0,0,0,0,1,0,5,1,1,2,-0,1,1,0,1,2,0,0,0,1,0,1,1,1,-0,2,
310315,,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,1,-0,1,0,-0,7,-0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,
310316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220301,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,2,2,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,4,3,1,1,1,1,2,0,1,1,1,
220303,,0,-0,1,0,1,-0,0,-0,-0,2,0,1,1,1,2,-0,-0,-0,-1,0,1,1,-1,0,0,1,0,0,-1,-0,-0,0,1,1,1,2,0,1,1,0,2,1,0,0,2,0,0,1,1,
220316,,-1,0,0,1,-0,0,-0,0,-0,1,0,-0,0,0,7,-0,-0,1,-6,0,0,2,0,1,0,0,0,0,-1,0,-0,0,0,-0,0,-0,-0,-0,2,1,1,2,0,0,2,1,1,1,1,
220318,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,-1,-0,0,-3,1,0,0,0,1,0,-0,0,-1,1,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,
220319,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,1,0,-0,0,-0,2,0,0,-0,0,-0,-1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,
220320,,1,0,-0,1,0,-0,-0,0,0,1,-1,2,2,0,1,-0,3,-1,-2,-0,1,0,0,-0,1,0,-1,-1,1,-1,0,0,0,0,2,1,3,-0,1,1,1,0,0,1,2,2,-0,0,1,
220323,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0,0,0,0,1,0,0,0,1,1,0,0,-1,1,0,0,0,1,0,1,1,1,1,3,1,2,1,1,0,1,1,0,1,1,
220326,,0,0,1,1,0,0,0,0,0,1,0,0,-0,0,1,2,1,0,-3,0,0,2,1,-0,1,0,-0,-0,0,-0,1,0,1,0,0,1,0,1,2,3,1,1,1,0,2,1,1,0,1,
220327,,1,0,0,0,0,0,2,0,0,0,-0,-0,-0,1,0,-1,2,2,-1,0,-0,-1,0,1,0,-1,0,0,0,1,0,0,-0,0,0,3,0,1,0,1,3,0,1,0,3,1,0,3,1,
220328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220107,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,-0,-2,-0,-16,18,1,-0,1,-0,0,0,0,-0,0,-1,0,0,3,0,0,-0,0,1,3,1,1,1,2,-0,1,1,0,-0,3,
220116,,1,0,0,-0,0,0,0,0,0,0,0,-0,1,0,-0,0,0,1,-16,13,1,-0,2,-0,0,0,0,-1,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,1,1,-8,9,
220117,,0,0,0,-0,0,0,0,0,-0,0,0,0,1,0,-0,0,0,0,-18,14,1,-0,0,-0,0,0,0,0,-1,0,0,0,2,0,1,1,0,0,2,1,0,0,2,0,0,3,0,0,2,
220120,,-0,0,1,-0,-0,-0,0,0,1,1,0,0,-0,0,-0,0,0,1,-18,15,1,-0,4,-0,0,0,0,-0,7,0,0,-0,2,1,0,1,-0,0,3,2,1,1,2,-0,2,-0,0,0,0,
220121,,0,0,0,0,-0,0,0,0,0,1,0,0,1,-0,-0,0,0,1,-16,16,1,-0,1,-0,0,0,0,0,3,-0,-0,1,1,1,0,-1,1,1,2,0,1,-0,1,0,1,1,1,1,1,
220122,,1,0,0,0,-0,0,0,0,0,0,0,-0,1,-0,2,-0,-2,-1,-14,15,0,-0,1,-0,0,0,0,3,0,-1,-0,0,1,1,1,-0,-0,1,3,0,1,1,0,0,0,1,1,0,1,
220124,,0,0,0,0,0,0,0,1,0,1,-0,0,1,-0,-0,2,-2,2,-13,11,1,-0,1,-0,0,0,0,3,0,0,0,1,1,1,0,1,0,2,2,0,1,0,2,1,1,1,0,1,1,
220125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,1,-16,13,2,-0,1,-0,0,0,0,0,-0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,2,
220128,,0,0,0,0,0,0,0,0,0,0,0,0,1,-0,2,-0,-2,1,-14,14,0,-0,2,-0,0,0,0,4,-0,0,1,-1,1,1,1,0,1,0,2,1,0,1,1,1,1,1,1,1,1,
220310,,0,0,0,0,0,0,1,0,0,-0,0,0,0,0,-0,0,0,1,-13,15,1,-0,-0,-0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,
220209,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-2,1,0,1,0,1,0,0,0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,
220210,,0,0,0,1,0,0,0,0,0,-0,0,1,0,0,-2,1,0,2,0,-1,0,0,0,0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,
520138,,-0,0,0,0,0,0,-1,0,0,-0,0,-0,-0,0,-1,1,0,0,-1,0,0,-0,1,-1,-0,0,0,1,-0,-0,0,-0,-0,0,0,-1,0,-0,0,0,-0,0,1,-0,0,0,1,0,0,-0
520139,,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-5,-10,12,0,3,1,0,-1,-1,0,-1,-1,1,1,1,0,0,-0,-0,0,-0,0,0,-0,0,-0,-0,1,0,0,0,0,0,0,0,-0
520235,,-9,-1,-3,-3,-0,0,-0,2,10,3,2,-1,2,-8,-4,1,-1,-2,3,-0,5,2,0,-0,0,-2,-2,-1,-1,-1,0,1,0,4,1,-6,1,0,-0,-8,-0,-2,8,2,5,2,2,-1,2,-0
520242,,0,1,0,-0,0,-0,1,-1,-1,1,0,0,2,3,1,-1,1,0,-1,-2,-1,4,-3,-0,-2,3,1,2,0,0,0,-0,-2,-0,0,-1,0,1,2,-1,0,1,3,3,-0,0,3,7,-0,-0
520251,,2,5,2,0,0,-1,2,0,-4,0,-3,-3,5,5,-2,0,5,-1,-2,-1,-2,0,-8,2,1,3,3,-1,2,-0,0,-3,-0,-2,-0,2,0,3,1,1,1,0,2,-0,-4,2,-0,2,6,0
520213,,0,1,-0,-0,1,-3,3,-1,1,0,9,-8,-1,1,-0,1,-0,0,0,1,-0,-0,-1,-2,-1,-1,1,-1,0,-2,2,-1,-0,-0,-0,-0,1,2,2,1,2,1,5,2,-0,3,1,1,-1,-0
520216,,-4,-1,-1,1,-0,-1,3,2,-4,1,-9,8,4,-3,2,-2,-1,1,-5,-8,-0,-0,5,-1,2,-5,0,-1,5,-5,5,-6,2,3,-1,2,-0,3,-2,2,2,2,0,-0,1,-3,4,-2,0,-0
520223,,-1,2,0,0,1,-5,5,-1,2,1,1,0,-1,2,-3,4,-0,-1,0,1,2,-1,1,1,-1,1,-1,-0,1,0,-1,1,0,0,-0,-13,-1,1,21,0,3,-2,1,3,1,-0,3,-1,1,0
520226,,1,-2,4,-1,-4,5,-1,2,-1,-1,-13,16,-5,6,2,0,-7,1,-2,-2,5,1,-10,10,-3,4,-6,5,-4,7,-6,-0,8,-6,6,-2,1,4,-4,-2,3,1,-1,7,1,-5,5,4,-2,0
520236,,1,-1,-1,0,0,-1,1,1,-1,1,-0,1,-2,1,1,2,-1,-1,0,0,0,-1,0,0,1,-1,0,0,-0,0,-2,2,1,0,-3,0,5,-1,1,-0,1,1,-1,0,2,-0,-0,2,-1,0
