"ID_NAME","CONSUMPTION_SEGMENT_CODE","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01","2026-04-01","2026-05-01","2026-06-01"
"Armchair","430104",0.37,3.426,-1.457,0.535,1.527,-1.507,1.067,4.489,-2.121,2.132,2.322,-2.103,1.901,3.563,-0.984,1.475,2.506,-2.722,1.329,3.377,-3.075,1.15,5.539,-2.844,1.301,2.452,-0.67,0.534,1.656,-3.862,0.443,4.518,-2.819,0.929,3.178,-4.792,2.561,0.035,-0.939,2.832,-0.898,-2.682,2.643,-0.366,-0.475,0.553,1.448,-5.253,2.166,3.013,-1.886,2.503,0.004,-4.124,2.074,1.371,-1.991,0.638,2.112,-5.614,2.111,1.829,-1.513,-0.132,-1.829
"Kitchen base unit","430119",-0.024,1.274,0.13,2.127,0.744,0.861,1.192,-0.502,4.286,0.425,0.864,4.874,3.476,0.185,1.404,-0.007,2.473,1.106,1.267,1.129,2.503,-0.285,1.791,8.558,-0.635,-0.441,0.93,-0.638,-0.508,1.237,-0.952,-0.906,-0.605,-0.507,0.176,2.348,-0.447,-1.661,1.573,1.469,-0.073,0.016,1.37,4.18,-0.255,-4.583,5.812,0.611,-0.949,1.412,0.519,0.448,-0.526,-0.104,0.979,0.578,-1.007,0.472,0.086,0.562,-1.076,0.598,0.063,0.679,1.39
"Coffee table","430120",0.333,2.363,0.718,0.221,1.898,-2.475,1.588,6.067,-2.696,1.57,2.581,-3.431,3.201,3.262,-1.986,0.94,5.641,-1.484,1.801,2.053,-1.7,0.941,2.708,-4.572,2.416,2.63,-2.163,-0.295,1.215,-2.803,0.573,2.751,-2.793,0.96,3.764,-8.105,2.012,1.277,-1.766,-0.016,2.201,-5.923,2.851,0.72,-0.101,0.404,2.329,-6.923,6.128,0.554,-3.127,2.527,0.228,-3.247,1.755,1.682,-1.67,0.568,1.337,-4.134,2.999,2.257,-2.849,1.192,0.55
"Chest of drawers","430127",3.53,1.205,-1.76,3.053,3.471,-2.659,2.134,3.262,-2.592,2.577,2.812,-4.344,2.316,4.02,-0.271,1.85,1.667,-3.126,1.028,2.805,-0.144,1.64,1.911,-2.785,1.01,2.201,-1.345,-0.687,2.199,-4.391,2.175,2.121,-4.018,2.474,0.178,-4.55,-0.16,2.502,-2.126,0.983,1.083,-3.457,1.715,0.951,-0.808,-0.638,2.062,-2.945,1.4,0.895,-1.319,1.063,0.785,-2.201,-0.009,0.378,0.105,0.582,0.711,-2.311,1.257,-0.447,0.502,-1.063,1.614
"Mattress - single","430132",6.135,-0.414,1.649,1.677,1.302,-2.563,0.072,7.213,-0.913,-0.025,2.456,-2.891,3.355,2.443,-0.128,3.121,1.552,-4.139,2.5,3.237,-1.188,0.778,2.598,-4.457,3.149,2.074,-1.239,1.738,1.134,-4.278,2.629,-0.732,-1.829,1.346,3.043,-4.759,3.766,1.303,-2.001,0.312,3.282,-5.661,4.003,2.082,-0.761,0.386,2.1,-8.416,0.931,2.414,-3.514,5.582,1.578,-5.549,3.765,0.625,0.549,-0.853,1.947,-5.384,2.289,-0.001,-2.908,3.276,0.019
"Bookcase or shelving unit - freestanding","430133",0.178,2.396,-0.356,1.124,3.024,-0.823,0.574,5.603,-1.68,1.059,3.084,-3.929,5.316,2.623,-3.043,1.163,2.187,-2.24,2.105,2.719,-1.179,1.027,2.217,-3.839,1.82,2.285,-2.04,0.647,0.766,-3.164,1.198,1.396,-3.811,2.204,-0.027,-4.578,0.824,2.26,-2.462,0.976,1.481,-2.251,2.83,2.392,-1.914,0.548,0.751,-4.742,2.507,0.633,-3.818,2.875,0.621,-3.231,0.753,2.777,-1.099,-1.504,2.346,-5.369,3.095,1.99,-0.975,0.924,0.536
"Table lamp","430134",1.746,0.186,-0.871,1.552,-0.283,0.667,0.023,1.623,0.184,-0.471,2.712,-1.41,6.681,1.545,-0.806,-0.171,0.425,-2.368,0.528,0.746,0.188,-1.119,5.324,-3.13,1.347,0.308,1.474,-3.289,0.667,-2.921,3.695,1.427,-2.147,1.762,0.673,-2.216,-0.439,1.098,-0.07,-0.806,1.011,-1.654,-0.823,-0.216,1.229,-0.511,-1.399,-1.726,0.79,1.335,-1.414,1.747,0.347,-2.868,1.285,-0.592,-0.615,-0.285,2.039,-1.642,0.605,0.495,0.304,-0.561,-0.051
"Settee - leather","430137",2.798,0.339,-0.157,2.855,4.381,-3.662,3.084,7.168,-3.178,1.47,10.083,-6.271,1.443,5.608,-2.162,1.466,4.112,-3.662,1.151,2.981,-3.386,0.752,4.112,-5.767,2.169,3.399,-1.98,2.287,1.901,-6.21,-0.561,2.016,-0.719,2.164,4.093,-9.007,2.407,3.244,-5.162,1.893,3.642,-6.066,1.831,4.077,-2.884,0.857,3.324,-7.103,3.274,3.192,-5.729,2.574,2.687,-4.97,0.708,2.334,-1.69,-2.133,2.684,-5.221,1.944,3.15,-2.323,0.946,0.609
"Office desk/workstation","430138",1.948,2.878,-1.84,0.504,1.26,-0.85,1.4,2.198,-4.064,3.839,0.63,2.772,1.245,2.29,-0.606,1.978,-0.706,-2.15,1.985,3.128,-0.161,2.706,0.277,-2.137,0.889,1.294,0.035,0.091,1.88,-2.917,-1.168,1.753,-3.946,2.535,0.584,-4.663,-0.109,2.314,-1.599,-0.961,0.775,-5.833,4.752,2.659,-1.549,-0.57,1.98,-10.954,11.417,1.269,-3.115,2.742,0.768,-8.572,7.332,2.598,-1.676,-1.891,3.684,-6.017,5.436,1.758,-1.899,0.842,-1.393
"Kitchen wall unit","430139",-0.699,-0.639,0.914,0.795,1.844,-1.996,2.599,-3.402,5.998,0.034,1.333,7.997,2.714,0.96,-0.001,0.616,3.551,1.262,2.08,0.707,1.404,-0.12,1.65,9.226,-0.11,-1.184,0.97,-0.573,-0.792,1.432,-0.685,-1.343,0.18,-0.09,-0.518,1.226,0.739,0.282,-0.607,1.794,0.113,-1.215,1.801,1.386,-1.466,-0.192,0.889,-0.636,0.368,0.41,-0.908,1.709,-0.406,-0.688,1.8,0.33,-0.926,0.653,0.003,0.96,-1.795,1.025,0.63,0.859,0.21
"Dining set - table and chairs","430141",1.371,0.713,-0.282,1.826,3.132,-0.689,0.48,0.417,1.087,1.692,3.518,-3.593,2.529,3.652,-1.197,-0.458,3.928,-1.922,1.745,0.78,0.968,0.104,1.181,-2.976,1.381,2.008,-1.402,2.638,-0.852,-1.784,-0.805,2.912,-1.938,1.103,0.998,-7.099,-2.319,1.583,1.761,-0.242,1.467,-4.023,1.169,2.345,-1.178,1.322,1.46,-4.014,2.509,2.331,-2.016,0.988,0.387,-3.983,1.498,0.939,-0.159,-0.995,1.193,-2.185,1.238,1.107,-0.673,1.063,-2.092
"High chair","430142",1.18,-0.814,0.642,-0.538,0.549,-2.14,0.535,6.715,1.737,-0.315,2.53,3.879,-0.266,-0.042,-0.391,4.414,0.442,-3.157,2.734,-0.846,0.274,-0.844,0.042,-1.268,-0.04,0.061,1.27,2.668,-2.465,-2.821,2.274,-2.277,-1.904,-3.991,1.258,-1.295,3.098,-3.1,2.819,0.129,-1.763,-1.963,3.767,-1.602,-0.698,-1.781,4.256,-4.735,2.122,-2.521,-0.925,1.312,-1.316,-4.4,2.137,-1.985,4.234,-4.425,2.054,-0.229,1.8,-2.69,4.967,-4.554,-1.508
"Settee - non-leather","430143",1.599,1.92,-0.185,-0.045,2.134,-1.185,1.419,3.569,-1.378,1.522,4.135,-4.145,3.161,3.393,-1.182,1.055,2.716,-2.578,3.077,2.389,-0.494,0.899,3.226,-5.427,2.992,2.877,-1.919,0.419,1.046,-2.809,0.592,1.528,-0.667,0.312,0.55,-6.141,2.32,2.491,-3.01,0.844,0.456,-4.543,1.629,2.135,-0.753,0.419,2.801,-5.239,3.099,1.646,-3.116,2.941,1.428,-4.676,1.9,0.229,-0.434,-0.461,1.549,-4.991,3.082,3.559,-1.715,-1.106,-0.501
"Bed (adult)","430144",,,,,,,,,,,,,2.053,1.774,1.619,2.221,1.813,-5.471,2.944,2.833,-0.106,0.984,2.616,-3.639,2.563,2.593,-2.805,1.036,-0.146,-2.542,0.916,1.876,-2.436,0.155,2.213,-6.166,2.831,1.632,-2.124,0.94,1.36,-2.357,0.376,1.237,1.443,1.478,1.826,-5.011,1.697,0.901,-2.576,4.183,-0.777,-1.589,0.225,-0.086,0.648,-0.509,3.028,-3.95,-0.484,2.095,-0.985,1.232,0.436
"Duvet - double (10 - 13.5 tog)","430211",3.529,-0.643,-0.031,0.064,-1.529,3.046,1.547,1.586,1.626,-0.747,0.91,-1.854,2.452,-0.29,-2.261,2.981,1.675,-0.581,-0.19,0.896,1.637,2.146,0.797,-4.138,4.382,0.575,-0.262,-0.179,-0.578,-0.258,0.874,-0.723,-0.395,0.412,-0.221,-3.665,2.382,1.249,-1.703,-0.044,-1.146,0.644,0.61,-0.033,2.28,-0.716,0.662,-2.508,3.471,0.498,-1.32,2.416,-1.235,-0.932,1.473,-0.577,-0.031,-1.416,0.408,-1.784,2.687,0.737,0.419,-1.025,0.085
"Duvet cover (with pillowcases)","430216",2.552,0.451,0.058,0.699,-0.416,-2.828,1.935,0.768,2.489,0.061,0.097,-3.771,5.616,0.326,1.253,1.471,-1.435,-0.29,1.151,0.669,1.961,1.079,0.663,-4.363,2.643,-1.432,1.018,-0.747,-0.311,0.022,-0.131,0.934,2.512,0.296,0.415,-3.927,2.807,-1.339,0.302,0.987,-2.682,0.687,0.189,0.01,2.185,0.619,0.642,-3.169,1.194,-0.608,0.273,1.403,-1.855,0.289,1.866,-0.89,0.379,-1.064,-1.047,-3.056,3.072,-0.203,-1.112,0.214,-1.914
"Bed sheet","430224",2.214,-0.769,-0.374,-0.686,1.673,-2.189,2.076,0.142,1.172,1.468,-0.016,-3.502,4.993,1.571,-0.522,0.451,0.14,0.872,1.566,-2.396,1.082,2.918,-0.315,-2.905,2.748,-1.602,1.117,0.714,-1.207,1.784,0.385,0.335,-1.122,0.634,-0.654,-1.475,2.115,0.077,-0.994,0.538,-2.762,1.902,0.588,-3.407,1.763,0.72,1.186,-2.232,2.525,-0.865,-0.944,-0.102,-1.724,0.795,0.993,-0.716,0.871,-0.894,2.068,-4.548,4.837,-1.341,0.23,-0.75,-0.577
"Bath towel or sheet","430228",3.681,0.532,-1.267,1.347,0.607,-2.827,1.832,-0.848,2.656,-0.573,0.55,-4.606,5.121,3.074,-0.731,0.061,0.038,1.931,3.011,0.136,0.69,1.885,0.703,-3.761,3.681,0.63,0.909,-1.543,-2.313,1.689,0.258,-1.403,1.796,2.542,-2.125,-4.291,5.991,-0.931,-0.434,0.965,-1.66,-2.864,2.581,-1.268,1.039,1.874,-0.524,-4.536,6.317,-2.291,-0.963,3.423,-3.59,1.696,2.636,-1.139,-0.177,0.058,-0.101,-2.319,4.029,-1.592,-0.066,0.909,-1.667
"Roller blinds - fabric","430229",-0.644,2.155,0.971,-0.759,1.516,-1.529,-2.631,2.978,0.727,0.732,0.418,0.36,0.509,0.329,-0.918,-0.877,0.494,0.245,-0.302,0.892,-0.447,1.417,-2.308,1.465,-0.493,0.426,0.762,-0.439,1.433,-0.085,-0.012,-2.354,-4.776,7.064,1.142,-0.026,0.767,-0.528,-0.674,-0.069,-0.51,0.329,0.336,-1.472,3.084,-1.439,1.153,-0.722,1.109,0.122,-1.853,2.367,-1.3,-0.84,3.337,-0.902,-0.327,-1.975,3.385,-2.543,1.337,0.609,0.28,1.111,-0.269
"Tufted synthetic carpet","430233",4.261,0.224,-2.764,4.749,2.1,1.956,-1.863,3.454,-3.041,2.477,1.141,3.161,1.577,-4.762,4.468,-1.687,5.468,-2.998,3.139,-0.682,-0.951,2.65,2.222,3.357,2.323,-2.858,-1.569,3.186,0.889,-3.664,1.421,2.351,-2.141,1.942,1.633,-4.286,4.132,0.54,-2.867,3.227,-0.234,-1.14,-0.632,-2.018,1.163,0,0.213,-1.493,0.288,0.724,0.381,1.374,0.958,-0.225,-1.057,0.17,-0.11,0.084,1.56,-1.012,1.153,0.002,0.788,3.601,2.469
"Tufted wool carpet","430234",0.742,1.955,-2.403,1.424,1.887,-1.597,2.186,1.165,-2.865,0.798,1.551,-0.67,2.381,2.571,-0.254,-0.544,4.097,-2.632,1.754,1.053,-1.704,3.44,-0.599,4.304,1.42,-0.683,-1.525,3.607,-0.923,-0.912,1.31,2.007,-2.14,0.986,-0.544,-0.12,0.515,2.347,-1.247,-1.241,0.761,0.983,0.08,0.366,-0.185,0.217,0.364,0.036,0.334,0.252,0.097,-0.279,1.076,-0.694,0.475,-0.033,1.319,-0.232,0.702,-1.399,0.442,0.417,1.14,2.236,1.548
"Rug","430235",0.956,-0.482,0.521,-1.458,1.228,-0.94,0.58,1.372,-0.297,0.107,0.691,-2.548,2.009,1.034,-2.988,2.489,-1.425,-0.888,2.07,2.158,1.186,0.489,3.883,-0.362,0.567,0.512,-2.655,2.522,2.287,1.048,-1.793,4.437,-2.395,-0.855,3.904,-7.886,6.024,-1.363,-2.969,-1.943,1.173,-2.21,2.141,-0.173,-1.931,0.833,-0.597,0.011,2.228,0.223,-1.96,0.576,-0.068,-1.976,0.423,0.7,0.623,-0.052,0.72,-1.591,2.836,0.146,-0.556,1.421,-0.93
"Curtains - ready-made","430236",1.484,-1.448,0.1,0.801,0.612,-2.636,2.449,1.719,1.224,-3.072,-0.546,3.204,4.095,6.752,-11.334,5.838,-2.287,-6.974,5.261,-5.943,12.391,0.762,-0.267,-8.706,9.223,1.475,1.02,0.564,-1.636,-3.269,4.684,1.001,5.569,-3.188,3.53,-3.588,2.416,-1.929,-0.132,1.034,1.533,-2.431,1.248,1.447,1.686,-2.042,2.551,-5.479,7.256,0.021,-3.265,2.386,-0.439,-1.998,1.085,3.123,-1.598,-0.604,2.009,-4.903,2.12,-1.991,0.939,0.368,-3.008
"Luxury vinyl tile (LVT) flooring","430237",7.177,3.754,-4.156,1.46,5.054,1.804,-0.494,0.308,0.74,4.362,0.668,-3.974,7.855,1.61,-5.108,7.256,-2.321,3.083,-1.4,-0.643,3.725,-0.758,6.241,-2.54,-0.842,2.989,0.096,-1.895,2.182,0.282,-2.689,-0.063,1.163,-2.87,0.524,-0.673,0.687,1.136,-1.902,0.74,-0.424,0.84,-0.523,1.641,-0.697,-1.299,0.079,-0.899,-0.619,1.444,-2.225,-0.104,0.021,-0.031,-1.4,1.417,-0.011,0.3,0.878,-1.562,1.344,0.266,0.569,0.387,0.55
"Cushion","430238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.195,0.442,-2.484,2.003,0.023,-1.386,1.757,-1.549,0.778,-0.583,-0.009,-3.151,1.987,0.348,0.08,-0.942,-3.496
"Electric cooker","430304",-0.872,0.752,3.806,1.005,-0.479,-0.515,0.691,-1.035,1.533,0.95,1.103,-1.239,6.677,-2.154,-1.141,4.232,-0.073,-0.583,2.145,-0.807,3.007,-1.021,1.18,-3.543,6.648,2.143,-1.882,3.82,-0.124,-1.149,3.809,-3.904,2.506,-3.878,4.494,-3.124,-1.259,0.781,0.248,-3.484,4.283,-1.651,0.525,-0.761,-0.47,-5.784,8.795,-3.922,1.34,1.404,-3.344,3.217,-5.118,-0.794,0.554,-3.209,3.321,-4.667,6.529,-3.859,1.205,2.251,-1.846,-0.166,1.086
"Electric kettle","430307",-2.606,5.32,-4.726,4.167,2.236,-4.453,3.448,-3.742,13.687,-10.203,5.792,2.374,2.525,-3.353,-2.215,7.614,-4.608,-4.147,4.222,0.124,-0.732,-0.236,-4.777,1.678,6.275,2.339,-0.246,0.877,-0.719,-1.544,2.178,-2.913,0.873,-2.669,2.862,0.387,6.094,-5.865,4.556,-5.574,4.638,-6.559,-0.812,2.528,-0.45,-0.052,1.283,-4.482,2.412,-1.39,0.943,-1.815,5.025,-3.479,-4.095,2.643,3.716,-0.632,-3.501,0.816,7.801,-5.66,-4.915,3.334,0.04
"Electric iron","430317",-0.114,-0.366,0.518,1.896,-4.937,6.74,4.473,0.116,3.386,0.115,7.211,-2.008,0.693,-0.561,0.386,-1.787,1.901,0.352,2.542,-1.732,-0.392,1.661,0.136,-1.621,4.293,0.579,4.527,-2.593,2.371,-2.837,-1.433,0.189,0.407,1.053,0.948,2.415,-5.776,-1.78,1.311,-2.35,-0.521,1.063,-4.534,4.237,-6.342,3.474,-1.145,2.832,-1.364,-0.136,-4.489,4.26,-3.638,-0.936,1.293,0.061,4.533,-8.454,10.877,-4.711,2.925,-5.777,3.093,-2.611,0.358
"Electric razor","430321",-3.64,6.589,1.828,-0.129,-4.971,-3.286,1.822,-7.884,14.09,-13.499,-3.212,13.07,-2.032,-2.041,2.114,1.761,-5.182,0.636,14.256,-1.738,6.532,2.987,-22.541,28.759,-3.809,2.125,-0.308,11.443,-20.186,-0.925,-5.2,22.02,9.644,-1.92,-16.703,9.522,5.344,-11.359,16.202,-16.382,10.442,-2.081,-0.675,4.86,0.176,-7.108,7.694,-5.73,-7.359,5.598,-5.904,8.081,-9.111,8.922,-8.698,1.688,8.434,-13.006,8.099,-7.723,8.472,-7.004,10.76,-4.159,-5.556
"Hair styling appliance (e.g. straighteners or tongs)","430351",9.022,2.808,-9.356,0.962,5.236,-1.84,2.827,-2.634,4.107,0.685,-6.506,8.983,-4.657,6.573,2.143,-4.184,2.47,6.824,-1.629,-4.226,12.876,-2.675,-7.55,7.903,4.639,-6.015,3.792,-0.793,-2.043,-3.033,-3.542,2.626,2.304,-7.771,0.406,3.622,5.05,-4.584,5.932,-0.35,-9.152,11.454,-4.473,6.285,-2.407,-5.317,0.095,2.262,2.246,1.732,-1.111,1.678,-3.547,5.993,-0.847,1.511,-3.023,-1.65,3.153,-9.278,14.325,-8.89,12.616,-8.221,-0.539
"Vacuum cleaner","430355",2.605,-0.574,-2.078,-3.356,6.718,0.493,3.19,-2.392,-0.706,-2.429,1.587,1.235,1.096,5.752,-4.91,-3.641,1.473,-0.779,2.583,0.674,0.105,-0.573,-2.454,2.753,0.862,-1.364,-1.229,4.278,-3.142,-2.859,-3.745,-4.739,6.209,-3.643,7.459,-9.57,7.357,-2.901,1.942,-0.884,-3.721,2.132,-1.477,2.772,-2.269,-7.636,12.044,-7.917,9.877,-2.069,-9.646,10.242,-2.709,1.744,-4.391,-2.084,9.858,-11.985,13.278,-6.239,4.145,-4.69,0.283,0.697,-0.175
"Dishwasher - full-sized","430356",-0.357,1.953,1.568,-0.172,0.009,3.568,-2.27,2.378,-2.504,-0.553,-2.136,2.586,3.407,0.096,-2.413,0.724,3.8,-0.341,-0.561,3.187,-0.058,-0.554,2.548,-1.768,2.93,1.672,-1.606,1.157,-0.657,1.635,-1.754,-1.635,1.559,-8.804,10.244,-2.656,2.1,0.663,-4.001,-1.191,1.72,-1.816,-0.939,-0.859,0.837,-1.433,3.276,-0.541,1.412,1.862,-4.295,0.412,0.699,-1.687,2.318,-0.212,2.289,-3.62,1.872,0.026,-2.037,-1.036,-1.928,0.633,-2.616
"Electric heater","430358",1.814,-1.563,-2.066,2.751,0.451,0.051,2.084,-1.992,7.108,9.341,3.47,-1.181,-8.018,12.73,-0.687,0.352,-0.246,-0.127,1.954,1.325,-2.159,-7.967,5.75,-1.687,3.81,-0.584,-0.299,2.369,-1.831,-1.132,-0.85,-2.213,2.493,-3.618,-0.791,-0.932,-14.044,-0.414,1.465,-3.588,-0.391,-1.141,-1.224,1.107,18.053,1.675,3.849,-0.503,-9.409,-0.879,-4.022,1.935,1.178,-1.041,-0.084,-0.691,11.903,-1.754,-6.489,0.239,-0.598,-6.448,-1.301,0.441,0.975
"Washing machine - no dryer","430361",3.6,0.855,-3.39,2.698,1.289,1.535,-0.242,0.28,-1.786,1.097,4.951,-5.196,6.242,-1.093,0.2,2.578,-0.234,-0.343,-2.12,4.01,-0.028,-0.43,0.245,-1.65,3.912,0.305,-0.603,4.205,-5.139,-0.302,-1.895,-0.44,1.925,-5.818,7.96,-3.831,1.817,-3.452,2.623,-3.366,1.913,-0.059,1.944,2.511,-1.744,-1.051,1.077,-1.47,-2.06,-1.127,0.601,-1.283,1.079,-2.109,-0.191,4.045,-0.688,-0.89,1.25,-2.627,1.165,2.68,-2.872,-0.088,2.807
"Fridge freezer","430362",4.28,2.844,-3.595,2.24,1.356,-0.075,5.32,-0.466,3.182,-2.165,3.42,-3.305,4.383,-0.968,1.017,0.796,1.624,0.036,3.543,2.206,1.272,-3.743,2.299,2.401,4.711,0.728,-6.263,1.131,0.219,-1.321,0.609,0.402,2.745,-2.105,1.754,-2.172,1.117,-1.882,2.589,-3.33,-1.038,0.01,-0.434,0.16,-0.322,-5.007,6.552,1.486,-5.91,5.126,-7.587,2.342,6.416,-2.148,2.677,-3.317,3.841,-4.844,8.751,-7.838,5.592,-2.813,-0.911,-0.118,3.928
"Electric toothbrush","430363",2.542,-1.597,8.093,-8.106,6.897,-6.704,3.258,-5.224,13.688,2.045,-4.734,6.202,-4.153,5.388,1.898,-1.983,8.74,-11.642,3.307,-1.756,1.13,5.272,-13.169,9.354,6.078,-2.626,17.676,-5.657,-5.86,5.748,2.115,-9.198,0.28,5.574,5.798,-2.063,4.031,-6.515,4.827,-2.453,1.747,-5.182,1.374,-5.063,-3.36,-3.345,-11.735,24.131,-18.205,10.788,-7.711,8.331,-5.381,1.547,3.098,7.175,-8.31,-8.059,-1.244,12.146,-12.93,10.782,-5.085,2.083,-2.418
"Air fryer","430365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.755,-10.197,-5.057,1.193,0.218,5.046,-12.425,8.283,-5.975,-4.565,4.032,-1.261,-4.343,2.76,-2.641,2.982,-4.585,4.409,5.17,-4.465,-0.755,-0.732,3.9,-1.246,-1.278,3.324,-6.496,4.29,-0.19
"Saucepan","430407",0.119,2.033,1.951,-2.749,0.964,1.181,2.215,-4.684,9.486,1.346,-0.273,8.619,0.744,1.442,0.865,0.856,2.048,0.934,-0.712,0.563,-1.076,0.318,-0.104,-2.042,1.929,-0.964,-2.927,0.283,-1.067,-2.529,2.839,-1.175,3.212,-1.516,3.655,-3.61,-0.059,2.698,-0.312,-0.505,-0.291,-1.846,1.68,-0.95,1.662,0.741,-1.244,0.029,-0.817,-0.279,0.682,1.746,-2.597,0.639,-1.663,-1.39,2.562,-0.278,-0.6,-0.348,1.288,0.595,1.114,0.923,-1.458
"Scissors","430409",2.419,1.722,0.614,2.369,0.493,0.098,1.316,-2.306,0.739,-0.484,2.524,7.347,2.204,0.93,-0.24,-0.05,-0.622,-0.321,0.044,4.29,-1.081,0.366,0.233,-2.008,1.01,-0.46,2.761,0.016,-0.032,3.666,-2.097,-1.004,2.183,2.003,-0.8,-2.084,2.362,-0.9,-0.385,-1.446,0.164,1.172,0.275,-3.131,2.54,0.435,-0.818,0.388,-0.817,-2.682,-0.594,0.858,1.864,-0.477,1.104,-0.991,1.888,-0.076,0.469,-3.368,1.835,0.784,0.7,-1.537,-1.77
"Gas fire","430413",-0.438,1.051,1.442,0.413,0.428,0.584,-0.827,0.875,0.813,1.827,-0.11,0.399,0.821,0.503,1.995,0.989,0.97,2.275,-0.074,2.642,0.857,0.928,0.589,0.151,-0.031,0.329,0.704,0.045,-0.254,0.103,0.474,-0.247,0.282,-0.158,-0.269,0.638,0.215,0.643,0.213,0.938,-0.133,0.555,-0.135,-0.399,0.13,0.309,0.305,-0.607,-0.115,0.995,-0.199,-0.52,0.204,-0.367,0.031,-0.473,0.388,0.221,0.345,-0.225,-0.217,0.877,-0.068,0.422,-0.043
"Gas cooker","430414",1.022,1.564,-0.081,1.125,1.117,-0.349,0.881,0.449,-0.11,1.279,0.391,1.131,1.864,1.516,-2.047,4.088,-2.29,0.55,6.322,-2.104,2.542,-2.656,2.947,-2.083,4.696,2.053,-3.487,1.729,0.028,0.567,0.089,-0.027,1.911,-3.695,3.615,-4.825,2.998,0.396,1.163,-2.218,-0.628,-1.691,2.692,1.076,1.262,-4.737,2.936,0.221,1.995,0.234,-3.561,1.888,3.658,-0.01,-3.387,2.171,-0.071,-5.901,8.772,-4.673,3.332,-1.193,0.036,-0.639,-1.113
"Food storage container - plastic","430418",4.825,5.715,1.351,-0.57,6.242,-4.448,1.614,-1.301,5.916,0.626,3.251,-1.398,1.161,1.016,0.93,0.297,-1.326,0.55,1.783,-3.771,5.038,1.454,-1.028,-3.652,0.298,2.143,-0.838,2.025,-2.869,1.41,0.747,2.401,-0.748,-2.682,1.77,-0.756,-1.511,0.869,-0.769,0.073,-0.696,0.355,0.442,-1.099,0.897,-0.063,0.434,-2.195,2.401,-0.396,-0.655,1.211,-2.352,0.517,1.975,-2.77,0.489,-1.906,2.915,-2.994,4.134,0.469,-0.456,-0.129,-0.037
"Cutlery set - stainless steel","430419",0.737,-2.579,0.585,-1.557,0.125,-1.678,3.332,-1.201,0.799,2.864,1.595,-0.613,1.512,0.15,2.533,-0.035,-0.357,2.108,1.392,-2.337,3.004,0.594,-1.094,0.626,0.344,-0.681,-1.245,1.412,0.075,2.575,-1.57,-4.604,5.209,-1.005,0.574,-2.673,1.01,0.525,0.17,-0.674,-1.401,2.137,-1.312,-3.303,1.933,2.112,-1.349,-1.674,1.492,-0.072,-3.743,2.604,1.317,-0.111,-0.111,-3.551,2.552,0.118,-0.489,-4.119,3.412,0.075,1.116,0.904,-0.547
"Drinking glass tumbler","430422",1.316,0.493,-1.535,0.827,-1.059,0.895,0.454,0.523,1.489,1.914,-0.532,3.529,2.642,0.598,-0.727,0.154,0.444,2.077,-1.878,3.318,3.476,-0.155,-0.653,0.364,4.155,-1.596,1.868,0.66,-1.829,-0.865,-0.572,1.207,2.189,-0.02,1.475,-2.469,-0.997,-1.003,0.184,-0.883,0.57,0.402,-1.985,0.999,-0.557,2.131,-1.008,1.648,-1.478,2.132,-0.867,-0.051,0.857,0.231,0.361,-0.29,0.436,-1.42,0.057,-1.459,-1.113,1.517,0.243,1.63,-1.58
"Frying pan - non-stick","430423",5.565,2.471,-4.432,-1.497,0.847,2.186,-2.056,-2.999,3.827,4.818,-1.075,0.626,1.857,3.88,-1.282,2.807,0.733,-1.475,1.174,-0.7,-1.79,1.053,4.756,-2.1,-0.623,2.877,-2.233,0.226,-0.167,0.538,4.955,-7.644,6.783,-3.665,2.332,-7.245,1.391,3.062,0.673,-0.987,1.035,-3.79,1.175,-1.187,3.063,0.27,-0.519,-2.387,3.396,0.71,-0.955,-0.518,-1.057,1.051,1.073,-2.405,-0.461,1.653,-0.275,-1.192,-2.327,-2.16,6.325,-0.3,-2.368
